method,setting,complex_type,seed,auroc,n_systems,file
NanoShaper gs=0.4,apo,Hetero,2025,0.8008017147437667,32,nanoshaper_gs0.4_s2025_provided_apo.csv
NanoShaper gs=0.4,apo,Homo,2026,0.7486041289937612,277,nanoshaper_gs0.4_s2026_provided_apo.csv
NanoShaper gs=0.4,apo,Hetero,2026,0.8010806476914374,32,nanoshaper_gs0.4_s2026_provided_apo.csv
NanoShaper gs=0.5,apo,Homo,2024,0.7524212940766105,277,nanoshaper_gs0.5_s2024_provided_apo.csv
NanoShaper gs=0.5,apo,Hetero,2024,0.8056714429145349,32,nanoshaper_gs0.5_s2024_provided_apo.csv
NanoShaper gs=0.5,apo,Homo,2025,0.7556598749298241,277,nanoshaper_gs0.5_s2025_provided_apo.csv
NanoShaper gs=0.5,apo,Hetero,2025,0.8232639335270724,32,nanoshaper_gs0.5_s2025_provided_apo.csv
NanoShaper gs=0.5,apo,Homo,2026,0.7410387490145767,277,nanoshaper_gs0.5_s2026_provided_apo.csv
NanoShaper gs=0.5,apo,Hetero,2026,0.8094136973144079,32,nanoshaper_gs0.5_s2026_provided_apo.csv
MSMS,apo,Homo,2024,0.7242321348611235,277,msms_0.1_dist2.0_s2024_provided_apo.csv
MSMS,apo,Hetero,2024,0.8117165542678944,32,msms_0.1_dist2.0_s2024_provided_apo.csv
MSMS,apo,Homo,2025,0.7322324446804348,277,msms_0.1_dist2.0_s2025_provided_apo.csv
MSMS,apo,Hetero,2025,0.8084108228630902,32,msms_0.1_dist2.0_s2025_provided_apo.csv
MSMS,apo,Homo,2026,0.7387498506936686,277,msms_0.1_dist2.0_s2026_provided_apo.csv
MSMS,apo,Hetero,2026,0.8472485312784369,32,msms_0.1_dist2.0_s2026_provided_apo.csv
Alpha Complex,af2,Homo,2024,0.8644472069888737,1366,alpha_complex_s2024_provided_af2.csv
Alpha Complex,af2,Hetero,2024,0.8203320734221459,216,alpha_complex_s2024_provided_af2.csv
Alpha Complex,af2,Homo,2025,0.8642331300996733,1366,alpha_complex_s2025_provided_af2.csv
Alpha Complex,af2,Hetero,2025,0.8177789193006908,216,alpha_complex_s2025_provided_af2.csv
Alpha Complex,af2,Homo,2026,0.857507887919913,1366,alpha_complex_s2026_provided_af2.csv
Alpha Complex,af2,Hetero,2026,0.8023429940689778,216,alpha_complex_s2026_provided_af2.csv
EDTsurf gs=0.3,af2,Homo,2024,0.8497675969380536,1366,edtsurf_gs0.3_s2024_provided_af2.csv
EDTsurf gs=0.3,af2,Hetero,2024,0.7668080667139924,216,edtsurf_gs0.3_s2024_provided_af2.csv
EDTsurf gs=0.3,af2,Homo,2025,0.8511433817546719,1366,edtsurf_gs0.3_s2025_provided_af2.csv
EDTsurf gs=0.3,af2,Hetero,2025,0.7708525092853551,216,edtsurf_gs0.3_s2025_provided_af2.csv
EDTsurf gs=0.3,af2,Homo,2026,0.8547411245425722,1366,edtsurf_gs0.3_s2026_provided_af2.csv
EDTsurf gs=0.3,af2,Hetero,2026,0.772703322193265,216,edtsurf_gs0.3_s2026_provided_af2.csv
EDTsurf gs=0.4,af2,Homo,2024,0.8610080808788018,1366,edtsurf_gs0.4_s2024_provided_af2.csv
EDTsurf gs=0.4,af2,Hetero,2024,0.7793231703321145,216,edtsurf_gs0.4_s2024_provided_af2.csv
EDTsurf gs=0.4,af2,Homo,2025,0.8621766357172088,1366,edtsurf_gs0.4_s2025_provided_af2.csv
EDTsurf gs=0.4,af2,Hetero,2025,0.7803355712484082,216,edtsurf_gs0.4_s2025_provided_af2.csv
EDTsurf gs=0.4,af2,Homo,2026,0.863483882272708,1366,edtsurf_gs0.4_s2026_provided_af2.csv
EDTsurf gs=0.4,af2,Hetero,2026,0.7857652714994193,216,edtsurf_gs0.4_s2026_provided_af2.csv
EDTsurf gs=0.5,af2,Homo,2024,0.8686228066907817,1366,edtsurf_gs0.5_s2024_provided_af2.csv
EDTsurf gs=0.5,af2,Hetero,2024,0.7987475196085397,216,edtsurf_gs0.5_s2024_provided_af2.csv
EDTsurf gs=0.5,af2,Homo,2025,0.8734226703796455,1366,edtsurf_gs0.5_s2025_provided_af2.csv
EDTsurf gs=0.5,af2,Hetero,2025,0.8050320778114979,216,edtsurf_gs0.5_s2025_provided_af2.csv
EDTsurf gs=0.5,af2,Homo,2026,0.8727809096270515,1366,edtsurf_gs0.5_s2026_provided_af2.csv
EDTsurf gs=0.5,af2,Hetero,2026,0.8037680630592189,216,edtsurf_gs0.5_s2026_provided_af2.csv
NanoShaper gs=0.4,af2,Homo,2024,0.7155833707349317,1366,nanoshaper_gs0.4_s2024_provided_af2.csv
NanoShaper gs=0.4,af2,Hetero,2024,0.7334558779598184,216,nanoshaper_gs0.4_s2024_provided_af2.csv
NanoShaper gs=0.4,af2,Homo,2025,0.720323918987251,1366,nanoshaper_gs0.4_s2025_provided_af2.csv
NanoShaper gs=0.4,af2,Hetero,2025,0.7406230253172573,216,nanoshaper_gs0.4_s2025_provided_af2.csv
NanoShaper gs=0.4,af2,Homo,2026,0.7108014299592494,1366,nanoshaper_gs0.4_s2026_provided_af2.csv
NanoShaper gs=0.4,af2,Hetero,2026,0.7280750772394355,216,nanoshaper_gs0.4_s2026_provided_af2.csv
NanoShaper gs=0.5,af2,Homo,2024,0.7189863570590557,1366,nanoshaper_gs0.5_s2024_provided_af2.csv
NanoShaper gs=0.5,af2,Hetero,2024,0.7325137945529957,216,nanoshaper_gs0.5_s2024_provided_af2.csv
NanoShaper gs=0.5,af2,Homo,2025,0.7251006001127742,1366,nanoshaper_gs0.5_s2025_provided_af2.csv
NanoShaper gs=0.5,af2,Hetero,2025,0.7426134951298506,216,nanoshaper_gs0.5_s2025_provided_af2.csv
NanoShaper gs=0.5,af2,Homo,2026,0.7133111498168465,1366,nanoshaper_gs0.5_s2026_provided_af2.csv
NanoShaper gs=0.5,af2,Hetero,2026,0.7315180523830073,216,nanoshaper_gs0.5_s2026_provided_af2.csv
MSMS,af2,Homo,2024,0.6813000897793625,1366,msms_0.1_dist2.0_s2024_provided_af2.csv
MSMS,af2,Hetero,2024,0.7068244964848165,216,msms_0.1_dist2.0_s2024_provided_af2.csv
MSMS,af2,Homo,2025,0.6884173240760804,1366,msms_0.1_dist2.0_s2025_provided_af2.csv
MSMS,af2,Hetero,2025,0.7052697437915522,216,msms_0.1_dist2.0_s2025_provided_af2.csv
MSMS,af2,Homo,2026,0.7717245050442475,1366,msms_0.1_dist2.0_s2026_provided_af2.csv
MSMS,af2,Hetero,2026,0.7351287141599462,216,msms_0.1_dist2.0_s2026_provided_af2.csv
